渠道,店铺, 2025年BOS发货金额 , 2025年BOS退货金额 ,2025年YTD-退货率, 2025年净销售 , 2024年BOS发货金额 , 2024年BOS退货金额 ,2024年YTD-退货率, 2024年净销售 ,YTD退货率-DIFF,YTD SALES-DIFF,Comment,,,,,,,,
TM,MM 天猫旗舰店," 902,770,680.15 "," -439,582,014.62 ",49%," 463,188,665.53 "," 804,384,780.41 "," -369,751,292.50 ",46%," 434,633,487.91 ",2.7%,6.6%,YTD退货率上涨,,FY24,MLB,KIDS,DX,AVG,,
TM,MK 天猫旗舰店," 62,219,153.87 "," -28,654,884.23 ",46%," 33,564,269.64 "," 50,442,575.76 "," -21,375,011.04 ",42%," 29,067,564.72 ",3.7%,15.5%,YTD退货率上涨,,TMALL,48%,42%,71%,54%,,
TM,DV 天猫旗舰店," 9,581,624.41 "," -5,640,573.76 ",59%," 3,941,050.65 "," 13,277,327.29 "," -7,436,853.74 ",56%," 5,840,473.55 ",2.9%,-32.5%,YTD退货率上涨,,JD,39%,34%,,37%,,
TM,DX 天猫旗舰店," 34,192,294.70 "," -21,075,787.74 ",62%," 13,116,506.96 "," 9,657,294.42 "," -6,862,018.64 ",71%," 2,795,275.78 ",-9.4%,369.2%,YTD退货率下降,,DY,56%,,,56%,,
TM,SP 天猫旗舰店," 1,022,514.50 "," -496,815.13 ",49%," 525,699.37 "," 1,862,843.95 "," -893,162.52 ",48%," 969,681.43 ",0.6%,-45.8%,YTD退货率上涨,,AVG,48%,38%,71%,49%,,
TM,ML 淘宝奥莱 FO," 3,580,421.67 "," -1,932,619.49 ",54%," 1,647,802.18 "," 7,123,568.23 "," -3,576,832.84 ",50%," 3,546,735.39 ",3.8%,-53.5%,YTD退货率上涨,,,,,,,,
JD,MM 京东旗舰店," 43,958,081.87 "," -19,569,167.92 ",45%," 24,388,913.95 "," 17,774,743.23 "," -7,057,334.22 ",40%," 10,717,409.01 ",4.8%,127.6%,YTD退货率上涨,,,,,,,,
JD,MM 京东服饰," 15,998,324.95 "," -6,863,923.34 ",43%," 9,134,401.61 "," 5,539,978.72 "," -2,172,008.14 ",39%," 3,367,970.58 ",3.7%,171.2%,YTD退货率上涨,,FY25,MLB,KIDS,DX,AVG,VS Y-1,
JD,MK 京东旗舰店," 2,813,630.87 "," -1,113,051.16 ",40%," 1,700,579.71 "," 1,618,865.09 "," -548,895.30 ",34%," 1,069,969.79 ",5.7%,58.9%,YTD退货率上涨,,TMALL,51%,46%,62%,53%,-1%,DX-YTD下降
JD,DX 京东旗舰店," 2,705,347.16 "," -1,539,715.34 ",57%," 1,165,631.82 ",,,0%, -   ,,,FY25新开店铺，DX高于其他品牌,,JD,44%,40%,57%,47%,10%,
DY,ML 抖音鞋服旗舰店," 154,116,994.28 "," -91,286,948.59 ",59%," 62,830,045.69 "," 41,727,939.92 "," -20,609,158.78 ",49%," 21,118,781.14 ",9.8%,197.5%,YTD退货率上涨,,DY,59%,64%,58%,61%,5%,
DY,ML 抖音服装旗舰店," 56,652,609.15 "," -33,709,805.83 ",60%," 22,942,803.32 "," 13,158,278.00 "," -8,224,398.00 ",63%," 4,933,880.00 ",-3.0%,365.0%,YTD退货率下降,,AVG,51%,50%,59%,53%,,
DY,MK 抖音儿童旗舰店," 4,950,832.63 "," -3,174,322.25 ",64%," 1,776,510.38 ",,,0%, -   ,,,FY25新开店铺，kids高于其他品牌,,VS Y-1,4%,12%,-12%,,,
DY,DX 抖音旗舰店," 2,716,333.07 "," -1,586,499.87 ",58%," 1,129,833.20 ",,,0%, -   ,,,FY25新开店铺,,,,,,,,
WeChat,ML 微商城," 19,674,989.89 "," -3,819,989.94 ",19%," 15,854,999.95 "," 26,650,583.52 "," -6,142,323.02 ",23%," 20,508,260.50 ",-3.6%,-22.7%,YTD退货率下降,,渠道：京东上涨幅度最大，MLB+kids平均增长5%-6%（销售涨140%），DX开店影响渠道退货率,,,,,,
VIP,VIPMLB," 138,445,150.35 "," -81,784,369.00 ",59%," 56,660,781.35 "," 134,488,828.36 "," -75,949,232.82 ",56%," 58,539,595.54 ",2.6%,-3.2%,YTD退货率上涨,,品牌：kids上涨幅度最大，TM涨4%、京东涨6%，新开抖音退货率渠道最高,,,,,,
VIP,VIPMLBkids," 15,909,416.97 "," -8,165,935.28 ",51%," 7,743,481.69 "," 12,812,772.51 "," -6,440,727.40 ",50%," 6,372,045.11 ",1.1%,21.5%,YTD退货率上涨,,,,,,,,
VIP,VIPSP," 798,870.17 "," -500,674.80 ",63%," 298,195.37 ",,,0%, -   ,,,FY25新开店铺-已关,,,,,,,,
VIP,VIPDV," 931,798.97 "," -603,652.26 ",65%," 328,146.71 ",,,0%, -   ,,,FY25新开店铺,,,,,,,,
